ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
3,Peru,"DEN 1,2,3,4",2016,Out,50,0.398292123,0.118,16765,37,50,98.77,31774,125,31384
3,Peru,"DEN 1,2,3,4",2016,Out,3,0.497925311,0.083,431,1,3,3.79,31774,6,1205
3,Peru,"DEN 1,2,3,4",2016,Out,10,0.369955157,0.067,2830,6,10,28.07,31774,33,8920
3,Peru,"DEN 1,2,3,4",2016,Out,17,0.325535202,0.105,6727,19,17,57.04,31774,59,18124
3,Peru,"DEN 1,2,3,4",2016,Out,22,0.324911291,0.103,10584,24,22,73.62,31774,76,23391
3,Peru,"DEN 1,2,3,4",2016,Out,24,0.319872051,0.104,11532,26,24,78.71,31774,80,25010
3,Peru,"DEN 1,2,3,4",2016,Out,29,0.308766771,0.099,13192,27,29,85.62,31774,84,27205
3,Peru,"DEN 1,2,3,4",2016,Out,39,0.394158015,0.123,14819,35,39,89.43,31774,112,28415
3,Peru,"DEN 1,2,3,4",2016,Out,44,0.403362484,0.125,15302,37,44,92.85,31774,119,29502
3,Peru,"DEN 1,2,3,4",2016,Out,46,0.410446526,0.122,16233,37,46,95.08,31774,124,30211
3,Peru,"DEN 1,2,3,4",2016,Out,51,0.395544586,0.117,16903,37,51,99.46,31774,125,31602
3,Peru,"DEN 1,2,3,4",2016,Out,5,0.484893696,0.075,886,2,5,8.44,31774,13,2681
3,Peru,"DEN 1,2,3,4",2016,Out,41,0.401774796,0.126,15006,36,41,90.08,31774,115,28623
3,Peru,"DEN 1,2,3,4",2016,Out,6,0.474934037,0.079,1156,3,6,11.93,31774,18,3790
3,Peru,"DEN 1,2,3,4",2016,Out,8,0.399744164,0.096,1877,6,8,19.68,31774,25,6254
3,Peru,"DEN 1,2,3,4",2016,Out,13,0.298652030,0.105,4183,13,13,38.99,31774,37,12389
3,Peru,"DEN 1,2,3,4",2016,Out,20,0.332145952,0.116,9535,24,20,65.38,31774,69,20774
3,Peru,"DEN 1,2,3,4",2016,Out,27,0.323344738,0.102,12844,27,27,83.71,31774,86,26597
3,Peru,"DEN 1,2,3,4",2016,Out,32,0.371991247,0.124,13957,34,32,86.30,31774,102,27420
3,Peru,"DEN 1,2,3,4",2016,Out,1,0.632911392,0.633,37,1,1,0.50,31774,1,158
3,Peru,"DEN 1,2,3,4",2016,Out,52,0.389105058,0.116,17055,37,52,100.30,31774,124,31868
