name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Salvador, Brazil",10/23/2020,30,24.7,26.9,33.1,24.7,28,21.7,73.58,0,,0,,,,,18.4,98.8,1014.7,4.2,10.9,,,0,,2020-10-23T05:03:58,2020-10-23T17:32:51,0.25,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/24/2020,29.6,24.2,26.7,33.5,24.2,27.9,22,75.78,0,,0,,,,,22.3,87.9,1013.2,5.4,10.9,,,0,,2020-10-24T05:03:30,2020-10-24T17:33:04,0.3,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/25/2020,30.1,24.2,26.8,34,24.2,28.2,22.1,75.81,0,,0,,,,,31.7,76.9,1010.9,5.3,10.9,,,0,,2020-10-25T05:03:03,2020-10-25T17:33:17,0.35,Clear,Clear conditions throughout the day.,wind,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/26/2020,28.7,24.1,25.4,31.2,24.1,25.7,22.5,84.47,0,,0,,,,,22.3,98,1009.5,6.4,11.1,,,0,,2020-10-26T05:02:36,2020-10-26T17:33:31,0.39,Clear,Clear conditions throughout the day.,clear-day,"83248099999,SBSV,86678099999"
"Salvador, Brazil",10/27/2020,28.5,23.6,25.3,32.3,23.6,25.9,22.8,86.71,0,,0,,,,,10.4,65.9,1008.8,2.6,10.3,,,0,,2020-10-27T05:02:11,2020-10-27T17:33:45,0.43,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/28/2020,30,24.7,26.8,34.1,24.7,28.1,22.4,77.25,0,,0,,,,,11,47.5,1009.4,2,11.5,,,0,,2020-10-28T05:01:47,2020-10-28T17:34:01,0.46,Clear,Clear conditions throughout the day.,clear-day,"83248099999,SBSV,86678099999"
"Salvador, Brazil",10/29/2020,29,25.2,26.6,32.5,25.2,27.6,22.1,76.37,0,,0,,,,,9.8,68.5,1011.7,5.2,11.1,,,0,,2020-10-29T05:01:23,2020-10-29T17:34:16,0.48,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/30/2020,30,24.7,26.7,34,24.7,27.8,22,75.97,0,,0,,,,,8.1,69.5,1012.7,1.7,11.7,,,0,,2020-10-30T05:01:00,2020-10-30T17:34:33,0.49,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/31/2020,30,25.1,26.7,34.9,25.1,28.1,22.7,78.9,0,,0,,,,,30.7,51.5,1011.5,7.3,11.6,,,0,,2020-10-31T05:00:39,2020-10-31T17:34:50,0.5,Clear,Clear conditions throughout the day.,wind,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",11/1/2020,30,24.7,26.8,34.2,24.7,28.2,22.8,78.91,0,,0,,,,,23.5,75.1,1009.2,9.3,11.5,,,0,,2020-11-01T05:00:18,2020-11-01T17:35:08,0.51,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",11/2/2020,25.6,22.6,23.6,25.6,22.6,23.6,22.3,92.68,0,,0,,,,,20.5,181,1010,6.2,6.9,,,0,,2020-11-02T04:59:58,2020-11-02T17:35:26,0.52,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",11/3/2020,24.1,22.2,22.8,24.1,22.2,22.8,22.1,95.38,0,,0,,,,,16.6,210.3,1011.8,7.1,4.4,,,0,,2020-11-03T04:59:40,2020-11-03T17:35:45,0.54,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",11/4/2020,25.6,22.1,23.7,25.6,22.1,23.8,22.2,91.05,0,,0,,,,,17.7,205.6,1012.8,6.4,6.1,,,0,,2020-11-04T04:59:22,2020-11-04T17:36:04,0.57,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",11/5/2020,26.7,23.2,24.9,29.4,23.2,25,23.3,91.27,0,,0,,,,,13,191.5,1012,9.9,10.9,,,0,,2020-11-05T04:59:05,2020-11-05T17:36:25,0.61,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",11/6/2020,29.5,24.1,26.3,33.8,24.1,27.7,23.4,84.57,0,,0,,,,,27.2,67,1012.9,3.6,11.6,,,0,,2020-11-06T04:58:50,2020-11-06T17:36:46,0.65,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
